Author,QuoteText,CreatedAt,RunningCount,GapInDays
Albert Einstein,Life is like riding a bicycle.,2026-01-10T00:00:00.0000000,1,
Albert Einstein,Imagination is more important than knowledge.,2026-05-15T00:00:00.0000000,2,125
Albert Einstein,The important thing is not to stop questioning.,2026-08-01T00:00:00.0000000,3,78
Aristotle,We are what we repeatedly do.,2026-07-25T00:00:00.0000000,1,
Confucius,"Everything has beauty, but not everyone sees it.",2026-07-20T00:00:00.0000000,1,
Mark Twain,The secret of getting ahead is getting started.,2026-04-05T00:00:00.0000000,1,
Maya Angelou,Nothing can dim the light that shines from within.,2026-02-20T00:00:00.0000000,1,
Maya Angelou,Try to be a rainbow in someone's cloud.,2026-06-10T00:00:00.0000000,2,110
Nelson Mandela,It always seems impossible until it is done.,2026-07-10T00:00:00.0000000,1,
Oscar Wilde,Be yourself; everyone else is already taken.,2026-03-12T00:00:00.0000000,1,
Oscar Wilde,Experience is simply the name we give our mistakes.,2026-07-01T00:00:00.0000000,2,111
Ralph Waldo Emerson,The only person you are destined to become is the person you decide to be.,2026-07-15T00:00:00.0000000,1,
Steve Jobs,"Stay hungry, stay foolish.",2026-06-15T00:00:00.0000000,1,
Steve Jobs,Innovation distinguishes between a leader and a follower.,2026-08-05T00:00:00.0000000,2,51
Winston Churchill,Success is not final.,2026-05-20T00:00:00.0000000,1,
