AuthorId,AuthorName,QuoteCount,MostRecentQuote,MostRecentQuoteDate
1,Albert Einstein,3,The important thing is not to stop questioning.,2026-08-01T00:00:00.0000000
2,Maya Angelou,2,Try to be a rainbow in someone's cloud.,2026-06-10T00:00:00.0000000
3,Oscar Wilde,2,Experience is simply the name we give our mistakes.,2026-07-01T00:00:00.0000000
4,Mark Twain,1,The secret of getting ahead is getting started.,2026-04-05T00:00:00.0000000
5,Winston Churchill,1,Success is not final.,2026-05-20T00:00:00.0000000
6,Steve Jobs,2,Innovation distinguishes between a leader and a follower.,2026-08-05T00:00:00.0000000
7,Nelson Mandela,1,It always seems impossible until it is done.,2026-07-10T00:00:00.0000000
8,Ralph Waldo Emerson,1,The only person you are destined to become is the person you decide to be.,2026-07-15T00:00:00.0000000
9,Confucius,1,"Everything has beauty, but not everyone sees it.",2026-07-20T00:00:00.0000000
10,Aristotle,1,We are what we repeatedly do.,2026-07-25T00:00:00.0000000
